# Copyright (C) 2025 by Curiosio
# Licensed under ECL (Educational Community License)

osm_id	name	country	area	bounding_box
4161494	Pico	Portugal	3.0304629174122675	POLYGON((-8.42590032759287 41.6833099686409,-8.42590032759287 41.7181110438841,-8.40468866432681 41.7181110438841,-8.40468866432681 41.6833099686409,-8.42590032759287 41.6833099686409))
4161490	Lanhas	Portugal	1.9781208455263115	POLYGON((-8.42138600218166 41.6595244743674,-8.42138600218166 41.6773824543547,-8.40413202213705 41.6773824543547,-8.40413202213705 41.6595244743674,-8.42138600218166 41.6595244743674))
4161501	Vila de Prado	Portugal	5.956670253278088	POLYGON((-8.48219260257295 41.59142519912,-8.48219260257295 41.6168318372863,-8.44684561397605 41.6168318372863,-8.44684561397605 41.59142519912,-8.48219260257295 41.59142519912))
4161486	Dossãos	Portugal	3.61874350793606	POLYGON((-8.48396696765576 41.6684517879804,-8.48396696765576 41.6885149628736,-8.455297338403 41.6885149628736,-8.455297338403 41.6684517879804,-8.48396696765576 41.6684517879804))
4167422	Oleiros	Portugal	4.081509859814509	POLYGON((-8.50944552255132 41.6014254801582,-8.50944552255132 41.6209553983715,-8.47723018061811 41.6209553983715,-8.47723018061811 41.6014254801582,-8.50944552255132 41.6014254801582))
4169367	Carrazedo	Portugal	2.925625527001397	POLYGON((-8.39565976204733 41.6211202704069,-8.39565976204733 41.6428084448684,-8.37406362088271 41.6428084448684,-8.37406362088271 41.6211202704069,-8.39565976204733 41.6211202704069))
4169362	Barreiros	Portugal	3.226112484755525	POLYGON((-8.40770430545058 41.6052841731032,-8.40770430545058 41.6276590768917,-8.38182761015426 41.6276590768917,-8.38182761015426 41.6052841731032,-8.40770430545058 41.6052841731032))
4169369	Fiscal	Portugal	4.21130727548618	POLYGON((-8.40812591518019 41.6411042363152,-8.40812591518019 41.6655936428172,-8.37551301957947 41.6655936428172,-8.37551301957947 41.6411042363152,-8.40812591518019 41.6411042363152))
4169372	Rendufe	Portugal	3.3094360744784095	POLYGON((-8.4209429347799 41.6203713473584,-8.4209429347799 41.6390796714226,-8.39333596321151 41.6390796714226,-8.39333596321151 41.6203713473584,-8.4209429347799 41.6203713473584))
4169371	Lago	Portugal	4.310470128696033	POLYGON((-8.43385927993225 41.6032442693278,-8.43385927993225 41.628148496218,-8.40438515561289 41.628148496218,-8.40438515561289 41.6032442693278,-8.43385927993225 41.6032442693278))
4169390	Torre e Portela	Portugal	3.885166881189281	POLYGON((-8.39694873111736 41.6464532316444,-8.39694873111736 41.6683946234007,-8.35626934335951 41.6683946234007,-8.35626934335951 41.6464532316444,-8.39694873111736 41.6464532316444))
